reading_id,sensor_id,value,recorded_at,sensor_type
1242,3,16.875,2024-12-30 13:15:29.204,Temp
1243,4,7.569860458374023,2024-12-30 13:15:29.506067,PH
1244,5,1120.119384765625,2024-12-30 13:15:29.773394,TDS
1245,3,16.875,2024-12-30 13:25:30.289877,Temp
1246,4,7.568241119384766,2024-12-30 13:25:30.561939,PH
1247,5,1081.6512451171875,2024-12-30 13:25:30.91845,TDS
1248,3,16.875,2024-12-30 13:35:31.359444,Temp
1249,4,7.578857421875,2024-12-30 13:35:31.62398,PH
1250,5,1087.2720947265625,2024-12-30 13:35:31.914939,TDS
1251,3,16.875,2024-12-30 13:45:32.444216,Temp
1252,4,7.5743584632873535,2024-12-30 13:45:32.710221,PH
1253,5,1096.463623046875,2024-12-30 13:45:32.979047,TDS
1254,3,16.875,2024-12-30 13:55:33.484605,Temp
3,1,40,2024-12-15 20:50:21.330907,
5,1,26,2024-12-15 20:51:20.757253,
1,1,26,2024-12-10 14:04:07.428603,PH
6,3,-1,2024-12-17 19:05:52.888011,Temp
7,4,8.288079261779785,2024-12-17 19:05:53.433076,PH
8,5,416.9365234375,2024-12-17 19:05:53.799014,TDS
9,3,-1,2024-12-17 19:15:53.519024,Temp
10,4,8.290417671203613,2024-12-17 19:15:53.785599,PH
11,5,418.84832763671875,2024-12-17 19:15:59.546894,TDS
12,3,-1,2024-12-17 19:25:53.885369,Temp
13,4,8.28573989868164,2024-12-17 19:25:54.443883,PH
14,5,414.7118225097656,2024-12-17 19:26:05.296476,TDS
15,3,-1,2024-12-17 19:35:54.253983,Temp
16,4,8.29239749908447,2024-12-17 19:35:54.861713,PH
17,5,416.30029296875,2024-12-17 19:36:11.19004,TDS
18,3,-1,2024-12-17 19:37:15.918535,Temp
19,4,8.29419708251953,2024-12-17 19:37:16.208248,PH
20,5,419.16741943359375,2024-12-17 19:37:16.719747,TDS
21,3,-1,2024-12-17 19:47:16.339215,Temp
22,4,8.29374694824219,2024-12-17 19:47:16.738785,PH
23,5,419.16741943359375,2024-12-17 19:47:22.714128,TDS
24,3,-1,2024-12-17 19:57:16.59156,Temp
25,4,8.29392719268799,2024-12-17 19:57:16.98198,PH
26,5,423.006591796875,2024-12-17 19:57:28.265045,TDS
27,3,-1,2024-12-17 20:07:16.881894,Temp
28,4,8.292487144470215,2024-12-17 20:07:17.438622,PH
29,5,414.39453125,2024-12-17 20:07:34.440147,TDS
30,3,-1,2024-12-17 20:17:17.413584,Temp
31,4,8.287179946899414,2024-12-17 20:17:17.819907,PH
32,5,417.891845703125,2024-12-17 20:17:40.748098,TDS
33,3,-1,2024-12-17 20:27:18.090446,Temp
34,4,8.29230785369873,2024-12-17 20:27:18.805589,PH
35,5,417.2548522949219,2024-12-17 20:27:46.501297,TDS
36,3,-1,2024-12-17 20:37:18.770918,Temp
37,4,8.29518699645996,2024-12-17 20:37:19.395947,PH
38,5,419.80596923828125,2024-12-17 20:37:52.774648,TDS
39,3,18.3125,2024-12-22 21:57:29.079582,Temp
40,4,8.48780918121338,2024-12-22 21:57:29.625277,PH
41,5,506.0345764160156,2024-12-22 21:57:29.989654,TDS
42,3,17.75,2024-12-27 18:17:57.623199,Temp
43,4,7.412505626678467,2024-12-27 18:17:58.0609,PH
44,5,1081.6512451171875,2024-12-27 18:17:58.331668,TDS
45,3,17.8125,2024-12-27 18:37:47.536411,Temp
46,4,7.855510711669922,2024-12-27 18:37:47.863761,PH
47,5,1111.46337890625,2024-12-27 18:37:48.280349,TDS
48,3,17.8125,2024-12-27 18:47:48.717833,Temp
49,4,7.863068103790283,2024-12-27 18:47:49.054651,PH
50,5,1115.78369140625,2024-12-27 18:47:49.316513,TDS
51,3,17.8125,2024-12-27 18:57:49.848219,Temp
52,4,7.864777088165283,2024-12-27 18:57:50.270606,PH
53,5,1116.5052490234375,2024-12-27 18:57:50.561617,TDS
54,3,17.8125,2024-12-27 19:07:51.038559,Temp
55,4,7.865586757659912,2024-12-27 19:07:51.506742,PH
56,5,1081.6512451171875,2024-12-27 19:07:51.822387,TDS
57,3,17.8125,2024-12-27 19:17:52.202071,Temp
58,4,7.863787651062012,2024-12-27 19:17:52.479435,PH
59,5,1114.3419189453125,2024-12-27 19:17:52.853137,TDS
60,3,17.8125,2024-12-27 19:27:53.282048,Temp
61,4,7.8551506996154785,2024-12-27 19:27:53.540484,PH
62,5,1097.884033203125,2024-12-27 19:27:53.892859,TDS
63,3,17.75,2024-12-27 19:37:54.331975,Temp
64,4,7.84318447113037,2024-12-27 19:37:54.596284,PH
65,5,1108.5916748046875,2024-12-27 19:37:54.858431,TDS
66,3,17.6875,2024-12-27 19:47:55.473158,Temp
67,4,7.835177898406982,2024-12-27 19:47:55.825261,PH
68,5,1133.219970703125,2024-12-27 19:47:56.08451,TDS
69,3,17.625,2024-12-27 19:57:56.623671,Temp
70,4,7.825461387634277,2024-12-27 19:57:56.969359,PH
71,5,1116.5052490234375,2024-12-27 19:57:57.396826,TDS
72,3,17.625,2024-12-27 20:07:57.702953,Temp
73,4,7.832838535308838,2024-12-27 20:07:58.015288,PH
74,5,1128.108642578125,2024-12-27 20:07:58.294351,TDS
75,3,17.5625,2024-12-27 20:17:58.804389,Temp
76,4,7.836527347564697,2024-12-27 20:17:59.199486,PH
77,5,1095.044921875,2024-12-27 20:17:59.570806,TDS
78,3,17.5625,2024-12-27 20:27:59.961273,Temp
79,4,7.846243858337402,2024-12-27 20:28:00.318483,PH
80,5,1100.0179443359375,2024-12-27 20:28:00.767376,TDS
81,3,17.5,2024-12-27 20:38:01.130062,Temp
82,4,7.83418846130371,2024-12-27 20:38:01.505195,PH
83,5,1130.296630859375,2024-12-27 20:38:01.942852,TDS
84,3,17.5,2024-12-27 20:48:02.291933,Temp
85,4,7.83310842514038,2024-12-27 20:48:02.629846,PH
86,5,1138.3529052734375,2024-12-27 20:48:02.979273,TDS
87,3,17.4375,2024-12-27 20:58:03.523892,Temp
88,4,7.827350616455078,2024-12-27 20:58:04.002315,PH
89,5,1133.219970703125,2024-12-27 20:58:04.441648,TDS
90,3,17.4375,2024-12-27 21:08:04.767134,Temp
91,4,7.8288798332214355,2024-12-27 21:08:05.062143,PH
92,5,1129.56689453125,2024-12-27 21:08:05.410767,TDS
93,3,17.375,2024-12-27 21:18:05.833815,Temp
94,4,7.839136600494385,2024-12-27 21:18:06.206011,PH
95,5,1115.78369140625,2024-12-27 21:18:06.543877,TDS
96,3,17.375,2024-12-27 21:28:07.030824,Temp
97,4,7.840755939483643,2024-12-27 21:28:07.384703,PH
98,5,1115.78369140625,2024-12-27 21:28:07.694452,TDS
99,3,17.3125,2024-12-27 21:38:08.095387,Temp
100,4,7.8403058052063,2024-12-27 21:38:08.426217,PH
101,5,1119.395751953125,2024-12-27 21:38:08.834997,TDS
102,3,17.3125,2024-12-27 21:48:09.175325,Temp
103,4,7.826630592346191,2024-12-27 21:48:09.475119,PH
104,5,1105.7269287109375,2024-12-27 21:48:09.732193,TDS
105,3,17.3125,2024-12-27 21:58:10.245679,Temp
106,4,7.812145709991455,2024-12-27 21:58:10.627112,PH
107,5,1120.843505859375,2024-12-27 21:58:10.902399,TDS
108,3,17.3125,2024-12-27 22:08:11.415187,Temp
109,4,7.812145709991455,2024-12-27 22:08:11.684337,PH
110,5,1123.0185546875,2024-12-27 22:08:12.024786,TDS
111,3,17.25,2024-12-27 22:18:12.56241,Temp
112,4,7.799910068511963,2024-12-27 22:18:12.868169,PH
